,,,Employee income earners,Employee income earners - median age ,Total Employee income,Median Employee income,Mean Employee income,Employee income as main source of income,Own unincorporated business income earners,Own unincorporated business income earners - median age ,Total Own unincorporated business income,Median Own unincorporated business income,Mean Own unincorporated business income,Own unincorporated business income as main source of income ,Investment income earners,Investment income earners - median age,Total Investment income,Median Investment income,Mean Investment income,Investment income as main source of income,Superannuation and annuity income earners,Superannuation and annuity income earners - median age,Total Superannuation and annuity income,Median Superannuation and annuity income,Mean Superannuation and annuity income,Superannuation and annuity income as main source of income, Total income earners (excl. Government pensions),Total income earners (excl. Government pensions and allowances) - median age,Total income (excl. Government pensions),Median Total income (excl. Government pensions),Mean Total income (excl. Government pensions),Total income (excl. Government pensions and allowances) - P80/P20,Total income (excl. Government pensions and allowances) - P80/P50,Total income (excl. Government pensions and allowances) - P20/P50 ,Total income (excl. Government pensions and allowances) - P10/P50,Total income (excl. Government pensions and allowances) - Gini coefficient,Total income (excl. Government pensions and allowances) - Income share of top 1% of earners,Total income (excl. Government pensions and allowances) - Income share of top 5% of earners,Total income (excl. Government pensions and allowances) - Income share of top 10% of earners,Total income (excl. Government pensions and allowances) - Lowest Quartile,Total income (excl. Government pensions and allowances) - Second Quartile,Total income (excl. Government pensions and allowances) - Third Quartile,Total income (excl. Government pensions and allowances) - Highest Quartile,Gross Capital Gains - Persons,Gross Capital Gains - Amount ,Gross Capital Gains - Median,Gross Capital Gains - Mean,Age Pension - Centrelink,Age Pension - DVA,Service Pension - DVA,Income Support Supplement - DVA,Carer Payment,Disability Support Pension,Newstart Allowance,Parenting Payment - Single,Parenting Payment - Partnered,Youth Allowance (Full time students/apprentices),Youth Allowance (Other),Family Tax Benefit A,Family Tax Benefit B,Persons earning $1-$499 per week,Persons earning $500-$999 per week,Persons earning $1000-$1999 per week,Persons earning $2000-$2999 per week,Persons earning $3000 or more per week,Persons earning nil income,Persons with a negative income,Median equivalised total household income (weekly)
CODE,LABEL,YEAR,no.,years,$,$,$,%,no.,years,$,$,$,%,no.,years,$,$,$,%,no.,years,$,$,$,%,no.,years,$,$,$,ratio,ratio,ratio, ratio,no.,%,%,%,%,%,%,%,no.,$m,$,$,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,%,%,%,%,%,%,%,$
35790,Palm Island (S),2013,553,41,"20,171,361","31,590","36,476",96.8,-,-,-,-,-,-,121,44,"138,602",7,"1,145",1.8,-,-,-,-,-,-,498,42,"19,685,063","34,310","39,528",3.91,1.68,0.43,0.23,0.406,-,16.2,27.1,31.3,33.5,25.2,10.1,-,-,-,-,45,-,-,-,32,133,294,101,-,-,121,305,280,-,-,-,-,-,-,-,-
35790,Palm Island (S),2014,567,40,"20,828,175","30,590","36,734",96.1,-,-,-,-,-,-,122,43,"143,109",4,"1,173",1.2,21,47,"237,644","6,476","11,316",2.4,508,41,"20,246,491","35,073","39,855",4.56,1.73,0.38,0.2,0.409,3.6,15.1,26.7,32.9,31.6,23.7,11.8,-,-,-,-,56,-,-,-,33,130,359,122,-,-,128,321,298,-,-,-,-,-,-,-,-
35790,Palm Island (S),2015,594,40,"22,260,728","30,714","37,476",95.3,-,-,-,-,-,-,110,44,"109,742",10,998,1.2,38,49,"366,324","7,225","9,640",2.7,515,41,"21,483,515","37,159","41,716",4.36,1.76,0.4,0.2,0.401,3.4,14.3,25.6,31.1,33.2,24.2,11.5,-,-,-,-,59,-,-,-,42,123,439,126,-,-,109,325,293,-,-,-,-,-,-,-,-
35790,Palm Island (S),2016,453,40,"20,090,413","39,039","44,350",95.8,-,-,-,-,-,-,112,46,"307,927",4,"2,749",1.4,27,45,"307,229","6,017","11,379",2.3,423,42,"20,051,611","42,192","47,403",3.93,1.68,0.43,0.22,0.393,-,15.6,25.8,23.9,31.9,30.3,13.8,-,-,-,-,60,-,-,-,34,111,327,123,-,-,74,309,283,59.8,20.2,7.3,1.3,0.3,6.6,0.2,456
35790,Palm Island (S),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,-,-,-,34,98,324,131,46,-,63,307,281,-,-,-,-,-,-,-,-
35800,Paroo (S),2011,698,39,"25,679,513","34,483","36,790",68.5,335,52,"9,546,303","13,561","28,496",20.8,508,48,"3,140,192",658,"6,181",9.9,-,-,-,-,-,-,853,44,"37,513,229","37,385","43,978",5.23,1.81,0.35,0.12,0.482,8,20.1,30.9,26.8,28,26.2,19.1,68,1.1,"2,660","15,858",195,-,-,-,20,123,72,57,-,-,20,-,-,-,-,-,-,-,-,-,591
35800,Paroo (S),2012,737,40,"28,151,272","34,579","38,197",67.7,360,52,"6,959,952","6,423","19,333",20.2,564,49,"3,201,222",628,"5,676",10.9,-,-,-,-,-,-,873,46,"36,959,397","36,870","42,336",6.11,1.86,0.3,0.11,0.508,7.5,18.9,30.4,30.3,25.9,26.4,17.4,74,6.9,"6,356","93,852",191,-,9,4,-,122,70,51,-,-,-,164,143,-,-,-,-,-,-,-,-
35800,Paroo (S),2013,722,40,"28,373,324","34,924","39,298",65.8,340,54,"1,885,141","2,434","5,545",15.6,556,51,"3,351,724",443,"6,028",15.6,-,-,-,-,-,-,846,48,"31,851,314","35,377","37,649",8.32,1.86,0.22,-,0.637,9.4,22.4,34.2,35.9,24.9,26.5,12.6,68,1.9,"2,374","27,457",189,-,10,-,23,129,100,46,-,-,21,161,136,-,-,-,-,-,-,-,-
35800,Paroo (S),2014,668,41,"28,358,632","39,172","42,453",65.9,326,55,"4,382","3,367",13,17.5,518,51,"3,289,119",427,"6,350",14,-,-,-,-,-,-,800,48,"29,976,063","36,284","37,470",7.61,1.87,0.25,0.01,-,9.9,23.3,35.3,33.2,26.9,26.9,12.9,65,2.8,"7,445","43,577",196,-,9,-,25,128,95,47,-,-,20,145,122,-,-,-,-,-,-,-,-
35800,Paroo (S),2015,662,42,"26,348,669","35,571","39,802",62.4,337,54,"4,252,318","8,638","12,618",22,538,52,"2,897,443",368,"5,386",13.8,-,-,-,-,-,-,799,48,"31,379,322","35,945","39,273",6.51,1.92,0.3,0.05,0.527,5,17.2,29,33.5,28.9,24.3,13.4,59,2.5,"5,853","43,009",193,-,8,-,-,131,108,51,-,-,-,141,122,-,-,-,-,-,-,-,-
35800,Paroo (S),2016,635,41,"27,346,580","37,572","43,065",62.8,297,55,"6,325,241","11,982","21,297",23.1,516,52,"2,604,610",231,"5,048",13.5,-,-,-,-,-,-,763,49,"33,328,911","37,769","43,681",5.62,1.84,0.33,0.07,0.506,5.3,18.3,29.6,31.6,28.2,26,14.3,54,0.9,"1,785","16,096",196,-,-,-,33,129,98,48,-,-,-,146,129,35.6,24.8,18.4,1.8,1.3,5.6,1.4,628
35800,Paroo (S),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,179,-,7,-,26,117,109,53,-,-,-,143,117,-,-,-,-,-,-,-,-
36070,Pormpuraaw (S),2011,293,38,"7,325,019","16,266","25,000",99.6,-,-,-,-,-,-,27,42,"-22,072",8,-817,0.4,-,-,-,-,-,-,239,39,"6,563,192","22,740","27,461",6.47,2.1,0.33,0.17,0.6,-,17.5,31.3,44.1,26.9,19.3,9.7,-,-,-,-,42,-,-,-,-,31,105,28,-,-,-,-,-,-,-,-,-,-,-,-,513
36070,Pormpuraaw (S),2012,286,39,"8,309,922","22,713","29,056",98.8,-,-,-,-,-,-,39,43,"-55,413",10,"-1,421",0.4,-,-,-,-,-,-,244,39,"8,168,890","26,392","33,479",5.68,1.99,0.35,0.18,0.451,-,17.4,29.5,37,35.8,17.3,9.9,-,-,-,-,30,-,-,-,-,42,118,28,-,-,-,89,82,-,-,-,-,-,-,-,-
36070,Pormpuraaw (S),2013,267,38,"7,545,795","18,881","28,261",97.8,-,-,-,-,-,-,35,39,"-52,488",7,"-1,500",0.4,-,-,-,-,-,-,228,39,"7,142,435","23,662","31,326",7.58,2.06,0.27,0.13,0.492,-,18.5,31.7,46.7,28.9,13.3,11.1,-,-,-,-,30,-,-,-,-,41,109,26,-,-,-,90,84,-,-,-,-,-,-,-,-
36070,Pormpuraaw (S),2014,260,39,"7,126,386","17,764","27,409",96.1,-,-,-,-,-,-,27,43,"-22,543",109,-835,0.4,-,-,-,-,-,-,231,40,"6,725,073","22,400","29,113",7.22,1.98,0.27,0.16,0.517,-,19.2,32.5,47.8,31.6,12.7,7.9,-,-,-,-,30,-,-,-,-,40,131,21,-,-,-,89,78,-,-,-,-,-,-,-,-
36070,Pormpuraaw (S),2015,284,39,"7,514,011","17,571","26,458",84,-,-,-,-,-,-,39,39,"-16,866",12,-432,0.4,52,44,"343,154","6,048","6,599",15.2,261,41,"7,330,242","20,508","28,085",7.09,2.2,0.31,0.21,0.493,-,19.9,32.1,53.6,28.5,12.2,5.7,-,-,-,-,31,-,-,-,-,42,144,27,-,-,-,99,90,-,-,-,-,-,-,-,-
36070,Pormpuraaw (S),2016,291,39,"8,204,399","18,663","28,194",91.1,-,-,-,-,-,-,39,41,"-64,872",10,"-1,663",0.4,28,42,"187,324","6,617","6,690",7.7,261,41,"8,173,725","21,642","31,317",7.32,2.29,0.31,0.17,0.493,-,17.8,31.1,50.2,27.4,13.9,8.5,-,-,-,-,33,-,-,-,9,39,118,28,-,-,16,99,88,63.8,18.3,7.6,1.3,-,3.8,0.7,411
36070,Pormpuraaw (S),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,-,-,-,6,35,133,28,16,-,17,98,91,-,-,-,-,-,-,-,-
36150,Quilpie (S),2011,414,42,"16,196,810","33,319","39,123",64.1,224,48,"4,104,988","14,175","18,326",23.1,361,47,"1,834,110",492,"5,081",11.2,-,-,-,-,-,-,528,45,"21,918,058","36,400","41,511",4.45,1.8,0.4,0.1,0.467,5.5,16.9,27.8,24.1,30.7,26.6,18.6,57,0.9,"4,636","16,043",67,-,-,-,-,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,660
36150,Quilpie (S),2012,442,41,"19,191,401","36,731","43,419",69.5,224,47,"4,482,075","11,200","20,009",19.6,408,45,"2,070,343",432,"5,074",10.4,-,-,-,-,-,-,550,44,"25,407,937","41,547","46,196",5.13,1.84,0.36,0.11,0.477,5.2,16.7,27.7,25.8,25.8,26.7,21.8,36,0.7,"3,931","18,140",66,-,6,-,-,33,-,-,-,-,-,84,53,-,-,-,-,-,-,-,-
36150,Quilpie (S),2013,453,39,"21,221,653","40,393","46,847",66.8,238,48,"1,943,122","6,375","8,164",17.9,427,45,"2,052,606",295,"4,807",13.3,-,-,-,-,-,-,565,44,"24,728,588","41,655","43,767",6.36,1.83,0.29,0.04,0.558,4.1,16.7,29,27.5,26.4,25.4,20.7,46,0.6,"3,576","13,697",64,-,4,-,-,25,-,-,-,-,-,63,47,-,-,-,-,-,-,-,-
36150,Quilpie (S),2014,432,40,"20,698,660","41,538","47,914",69.7,222,50,"221,313","2,994",997,16.2,410,45,"1,690,228",241,"4,123",13.4,-,-,-,-,-,-,530,45,"21,581,526","37,455","40,720",7.18,2.03,0.28,0.02,-,9.5,22,35,32.8,24.9,21.8,20.5,44,2.1,"1,813","48,000",63,-,4,-,-,30,-,-,-,-,-,56,37,-,-,-,-,-,-,-,-
36150,Quilpie (S),2015,460,40,"21,899,448","41,530","47,607",69.2,223,51,"4,043,900","8,800","18,134",19.7,421,46,"1,793,506",214,"4,260",8.4,-,-,-,-,-,-,545,44,"26,934,886","43,369","49,422",4.95,1.89,0.38,0.16,0.442,3.8,15.4,26.4,26.5,27.2,25.4,21,45,1.8,"1,952","39,063",71,-,-,-,-,25,20,-,-,-,-,55,42,-,-,-,-,-,-,-,-
36150,Quilpie (S),2016,432,41,"21,225,213","44,981","49,132",68.5,202,52,"3,921,641","6,046","19,414",20,391,47,"1,387,960",131,"3,550",10.4,-,-,-,-,-,-,522,46,"24,905,146","40,233","47,711",6.25,1.88,0.3,0.13,0.505,8.2,19.9,31,29.2,28.3,25.2,17.3,41,1.3,"4,734","31,025",68,-,-,-,6,25,27,12,-,-,-,51,40,26.1,28.1,23.9,3.9,0.5,5.7,2.6,742
36150,Quilpie (S),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,-,-,-,7,18,25,11,-,-,-,56,42,-,-,-,-,-,-,-,-
36250,Redland (C),2011,"69,520",40,"3,469,184,347","42,539","49,902",78.4,"10,086",47,"197,556,761","10,581","19,587",6.7,"51,739",47,"375,052,055",319,"7,249",12.5,"2,800",59,"59,605,750","15,995","21,288",1.7,"79,267",43,"4,042,302,458","41,570","50,996",4.74,1.81,0.38,0.17,0.455,8,20.4,31.1,23.3,25.7,26.7,24.3,"4,973",109.8,"2,097","22,072","14,391",-,-,-,960,"4,235","2,476","1,974",-,"1,258",500,-,-,-,-,-,-,-,-,-,793
36250,Redland (C),2012,"71,675",41,"3,821,057,390","44,653","53,311",78.7,"9,971",48,"206,738,400","11,053","20,734",6.4,"53,970",48,"387,874,898",293,"7,187",12.4,"2,870",59,"67,678,621","17,190","23,581",1.7,"80,555",44,"4,406,866,352","44,037","54,706",4.51,1.81,0.4,0.18,0.451,7.7,20.3,31.2,22.9,25.9,26.5,24.8,"4,145",110.3,"1,884","26,599","14,908",30,"1,497",577,"1,073","4,337","2,625","1,945",-,960,467,"10,303","8,231",-,-,-,-,-,-,-,-
36250,Redland (C),2013,"72,972",41,"4,035,911,734","46,240","55,308",78.4,"9,797",48,"202,630,543","10,979","20,683",6.3,"54,387",48,"417,925,390",266,"7,684",12.6,"2,873",59,"69,131,178","17,388","24,062",1.8,"80,807",44,"4,623,813,984","46,001","57,220",4.32,1.8,0.42,0.2,0.448,7.5,20.2,31.1,22.9,25.7,26.6,24.8,"5,053",91.1,"1,484","18,021","15,654",27,"1,437",551,"1,153","4,425","3,161","1,592",-,885,672,"9,826","8,221",-,-,-,-,-,-,-,-
36250,Redland (C),2014,"74,197",41,"4,200,761,007","47,313","56,616",78.3,"9,513",48,"205,543,484","11,805","21,607",6.2,"55,098",48,"471,233,619",246,"8,553",12.9,"2,854",59,"72,911,383","17,894","25,547",1.8,"81,979",44,"4,818,093,405","47,046","58,772",4.37,1.81,0.41,0.19,0.45,7.7,20.4,31.4,23.1,25.5,26.6,24.7,"5,468",137.2,"2,878","25,088","16,197",28,"1,364",522,"1,258","4,592","3,535","1,527",-,907,642,"9,466","7,980",-,-,-,-,-,-,-,-
36250,Redland (C),2015,"77,696",41,"4,490,752,673","48,275","57,799",78,"9,773",48,"213,082,736","11,427","21,803",6.2,"57,528",48,"464,429,790",211,"8,073",13.1,"3,038",59,"80,133,426","18,544","26,377",1.9,"84,564",45,"5,036,779,502","48,039","59,562",4.41,1.81,0.41,0.19,0.448,7.2,20,31,23.1,25.6,26.5,24.8,"5,892",170.5,"3,697","28,942","17,044",34,"1,280",472,"1,348","4,559","3,760","1,559",-,897,602,"9,259","7,932",-,-,-,-,-,-,-,-
36250,Redland (C),2016,"77,707",41,"4,601,479,579","50,144","59,216",77.7,"10,024",48,"217,629,277","11,929","21,711",6.2,"58,451",48,"482,822,304",179,"8,260",13.4,"3,063",59,"80,423,662","18,058","26,257",1.9,"85,454",45,"5,156,898,201","49,248","60,347",4.48,1.79,0.4,0.18,0.449,7.3,19.9,30.8,23.1,25.3,26.9,24.7,"5,781",209.4,"3,020","36,225","17,803",35,"1,229",456,"1,405","4,327","3,780","1,598",-,882,559,"9,138","7,347",28.6,25.1,24.1,4.8,2.6,7.8,0.4,896
36250,Redland (C),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"17,787",40,"1,159",418,"1,422","4,243","3,795","1,528",331,751,544,"8,852","6,872",-,-,-,-,-,-,-,-
36300,Richmond (S),2011,389,38,"14,947,771","32,346","38,426",66.7,231,48,"1,010,446","9,832","4,374",23.1,326,45,"1,565,216",553,"4,801",9.8,-,-,-,-,-,-,499,41,"16,914,403","35,294","33,897",5.75,1.78,0.31,0.08,-,7.7,25.6,39.4,28.1,28.7,27.3,15.9,33,3.8,"5,482","115,291",72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,698
36300,Richmond (S),2012,406,34,"15,469,204","32,439","38,101",68.1,228,48,"2,721,289","7,680","11,935",21.4,342,44,"3,428,977",518,"10,026",9.8,-,-,-,-,-,-,499,41,"21,009,983","37,270","42,104",5.19,1.81,0.35,0.13,0.689,8.7,26.4,39.4,28.7,27.5,25.7,18,32,4.8,"5,847","148,539",66,-,-,5,-,-,-,-,-,-,-,73,51,-,-,-,-,-,-,-,-
36300,Richmond (S),2013,427,34,"17,822,556","37,308","41,739",69.5,223,50,"3,340,421","8,414","14,979",19.1,343,44,"4,454,469",282,"12,987",9.8,-,-,-,-,-,-,509,41,"24,595,098","42,753","48,320",4.59,1.72,0.37,0.14,0.69,12.8,30,42,25.1,26.7,29.1,19.1,28,9.7,"23,035","345,301",68,-,5,4,-,-,-,-,-,-,-,61,42,-,-,-,-,-,-,-,-
36300,Richmond (S),2014,418,33,"17,427,993","36,333","41,694",69.5,224,49,"-2,147,699","3,701","-9,588",16.8,358,43,"3,788,334",333,"10,582",12.7,-,-,-,-,-,-,518,41,"18,438,742","36,528","35,596",5.16,1.82,0.35,0.06,-,6.8,20.8,34.8,29.9,30.3,24.3,15.4,26,1.7,"1,676","66,103",70,-,4,-,-,-,-,-,-,-,-,64,49,-,-,-,-,-,-,-,-
36300,Richmond (S),2015,402,34,"17,869,882","41,359","44,452",68.6,219,49,"-396,483","2,186","-1,810",17.1,362,43,"3,286,914",283,"9,080",12.9,-,-,-,-,-,-,501,40,"19,726,548","38,674","39,374",6.13,1.66,0.27,0.03,0.654,7.1,21.9,34.6,30.2,29.4,26.4,13.9,31,2.2,"5,227","70,135",62,-,-,-,-,-,-,-,-,-,-,72,51,-,-,-,-,-,-,-,-
36300,Richmond (S),2016,298,33,"14,039,119","45,326","47,111",77.3,114,50,"3,859,502","11,769","33,855",16.4,220,38,"175,520",90,798,5,-,-,-,-,-,-,318,38,"17,238,969","46,643","54,211",3.94,1.61,0.41,0.15,0.439,-,20,30.4,22.4,29.3,31.2,17,-,-,-,-,63,-,-,-,-,11,20,-,-,-,-,61,44,27.9,29.6,21.5,2.5,1.4,4.1,1.9,736
36300,Richmond (S),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,-,-,-,-,12,19,6,-,-,-,59,39,-,-,-,-,-,-,-,-
36370,Rockhampton (R),2011,"38,389",37,"1,883,427,935","42,515","49,062",84.5,"5,078",48,"89,633,898","7,167","17,651",5.7,"23,793",45,"108,733,044",219,"4,570",8.5,896,58,"16,388,008","10,000","18,290",1,"40,555",40,"2,051,882,940","42,855","50,595",4.65,1.8,0.39,0.17,0.44,6.2,17.7,28.6,22.5,24.9,26.8,25.9,"2,234",47.5,"1,648","21,250","8,198",-,-,-,635,"3,456","1,924","1,518",-,546,431,-,-,-,-,-,-,-,-,-,730
36370,Rockhampton (R),2012,"40,459",37,"2,143,191,380","45,293","52,972",85.2,"5,178",48,"99,301,819","8,744","19,178",5.6,"25,349",44,"126,223,790",203,"4,979",8,929,58,"20,170,624","11,142","21,712",1,"41,870",40,"2,322,733,501","46,545","55,475",4.49,1.81,0.4,0.19,0.443,6.3,17.8,28.8,21.6,24.4,26.5,27.5,"1,769",66.3,"1,718","37,499","8,121",9,563,294,642,"3,366","1,989","1,525",-,385,398,"6,370","5,723",-,-,-,-,-,-,-,-
36370,Rockhampton (R),2013,"41,204",37,"2,291,086,262","46,925","55,603",85.1,"5,158",48,"98,830,593","6,727","19,161",5.1,"25,432",45,"136,432,231",185,"5,365",8.3,970,57,"20,767,370","10,182","21,410",1,"42,103",40,"2,448,560,572","48,280","58,156",4.27,1.81,0.42,0.2,0.436,6.4,17.8,28.9,21.2,25,26.5,27.3,"2,156",44.8,"1,102","20,773","8,467",8,533,272,709,"3,349","2,370","1,260",-,295,523,"6,249","5,695",-,-,-,-,-,-,-,-
36370,Rockhampton (R),2014,"40,641",37,"2,273,784,569","47,652","55,948",85.1,"4,898",49,"101,980,385","6,807","20,821",5,"25,058",45,"132,645,932",154,"5,294",8.4,"1,018",57,"24,135,465","10,643","23,709",1.2,"41,315",40,"2,427,747,155","48,904","58,762",4.28,1.8,0.42,0.2,0.435,6.5,18.1,29.1,21.6,25.1,27.1,26.2,"2,306",52.3,"2,212","22,700","8,665",6,463,288,779,"3,324","2,841","1,359",-,342,620,"6,165","5,651",-,-,-,-,-,-,-,-
36370,Rockhampton (R),2015,"41,470",37,"2,360,201,073","49,227","56,913",84.4,"5,105",48,"109,278,953","6,463","21,406",5.4,"25,818",45,"131,548,181",122,"5,095",8.6,"1,057",57,"28,241,766","13,750","26,719",1.3,"41,786",40,"2,487,842,917","49,931","59,538",4.29,1.77,0.41,0.19,0.435,6.6,18.2,29.2,21.8,24.9,27.6,25.7,"2,343",57.5,"2,107","24,528","8,675",-,437,270,898,"3,486","3,558","1,578",-,369,818,"6,133","5,668",-,-,-,-,-,-,-,-
36370,Rockhampton (R),2016,"39,694",38,"2,288,383,204","50,022","57,651",83.9,"4,987",48,"111,418,201","7,543","22,342",5.7,"25,231",45,"116,545,718",109,"4,619",8.7,"1,121",56,"25,646,325","11,542","22,878",1.4,"40,453",41,"2,405,417,338","50,031","59,462",4.47,1.78,0.4,0.18,0.438,6.5,18.2,29.1,22.4,25.1,27.5,25.1,"2,185",50.3,"1,550","23,002","8,722",-,406,239,928,"3,412","3,900","1,556",-,436,718,"6,096","5,251",30.5,24.2,21.2,4.3,1.8,7.4,0.5,784
36370,Rockhampton (R),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,646",-,361,214,979,"3,365","3,934","1,597",384,357,732,"6,085","5,119",-,-,-,-,-,-,-,-
36510,Scenic Rim (R),2011,"15,553",42,"653,164,475","36,520","41,996",70.7,"5,020",51,"48,211,615","4,326","9,604",11.3,"12,499",50,"84,134,726",428,"6,731",15.1,700,58,"15,900,700","16,295","22,715",1.9,"19,341",46,"790,173,224","34,169","40,855",5.62,1.88,0.33,0.13,0.477,6.6,19.2,30.4,30,28.9,23.7,17.5,"1,320",27.4,"1,966","20,737","4,064",-,-,-,358,"1,472",973,658,-,321,194,-,-,-,-,-,-,-,-,-,641
36510,Scenic Rim (R),2012,"16,135",42,"718,315,474","38,208","44,519",71.1,"4,979",52,"48,067,254","4,159","9,654",10.7,"13,113",50,"90,300,229",386,"6,886",15.1,717,58,"16,465,205","16,822","22,964",2,"19,694",46,"856,724,071","36,281","43,502",5.49,1.88,0.34,0.13,0.476,6.5,19.3,30.5,30.2,28.5,23.7,17.7,"1,026",25.0,"2,747","24,397","4,537",5,365,133,440,"1,581",994,621,-,200,178,"3,340","2,683",-,-,-,-,-,-,-,-
36510,Scenic Rim (R),2013,"16,401",42,"773,854,703","40,354","47,183",71.1,"4,886",52,"39,434,621","3,194","8,071",10.2,"13,187",50,"95,358,854",348,"7,231",15.4,733,58,"17,855,809","16,723","24,360",2,"19,767",47,"905,291,548","37,466","45,798",5.42,1.89,0.35,0.13,0.482,6.8,19.8,31.2,30.7,27.9,23.6,17.9,"1,243",25.9,"1,817","20,817","4,792",8,343,128,482,"1,614","1,218",550,-,161,203,"3,196","2,647",-,-,-,-,-,-,-,-
36510,Scenic Rim (R),2014,"16,979",43,"816,676,429","40,792","48,099",71.5,"4,938",53,"51,705,597","4,030","10,471",10.5,"13,554",50,"92,555,608",315,"6,829",15.1,736,58,"19,461,159","18,167","26,442",1.9,"20,145",47,"950,392,731","38,986","47,178",5.32,1.88,0.35,0.14,0.471,6.3,19.2,30.4,30,27.7,24,18.2,"1,342",35.4,"3,187","26,357","4,965",10,328,120,541,"1,676","1,325",593,-,158,231,"3,267","2,765",-,-,-,-,-,-,-,-
36510,Scenic Rim (R),2015,"17,869",43,"873,364,507","41,433","48,876",70.5,"5,011",53,"49,801,860","4,281","9,939",10.9,"14,030",50,"104,127,336",281,"7,422",15.5,736,58,"20,971,400","20,963","28,494",2.1,"20,691",47,"997,779,072","39,774","48,223",5.36,1.89,0.35,0.13,0.472,6.6,19.3,30.6,30.1,27.7,24,18.2,"1,393",62.4,"4,152","44,775","5,225",9,313,119,586,"1,669","1,416",581,-,174,238,"3,258","2,795",-,-,-,-,-,-,-,-
36510,Scenic Rim (R),2016,"17,827",43,"887,947,555","42,656","49,809",70.7,"4,899",53,"56,636,949","6,098","11,561",11.1,"14,094",50,"107,655,614",237,"7,638",15.2,742,58,"19,623,693","19,306","26,447",2.1,"20,792",47,"1,023,585,480","40,675","49,230",5.21,1.89,0.36,0.13,0.468,6.5,19,30.2,29.3,28.3,24.3,18.1,"1,333",42.4,"2,778","31,831","5,378",7,309,116,604,"1,668","1,414",567,-,192,204,"3,211","2,595",33.2,25.3,19.1,3,1.4,6.7,0.6,738
36510,Scenic Rim (R),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,364",10,285,111,597,"1,564","1,380",534,164,176,214,"2,997","2,305",-,-,-,-,-,-,-,-
36580,Somerset (R),2011,"8,763",41,"366,582,555","38,231","41,833",74.9,"2,590",50,"13,259,049","1,953","5,119",9.7,"6,187",49,"28,649,844",303,"4,631",12.6,390,57,"8,065,920","14,665","20,682",1.8,"10,525",45,"409,548,322","34,524","38,912",5.94,1.82,0.31,0.09,0.476,5.7,17.3,28.6,31.1,26.6,26,16.3,519,18.8,"2,527","36,174","2,403",-,-,-,288,"1,362",624,444,-,175,129,-,-,-,-,-,-,-,-,-,583
36580,Somerset (R),2012,"9,191",41,"409,986,919","39,990","44,607",75.8,"2,547",51,"16,608,160","2,475","6,521",9.3,"6,551",49,"36,737,396",270,"5,608",12.2,398,57,"9,096,879","15,203","22,856",1.9,"10,787",45,"462,021,507","37,115","42,831",5.56,1.83,0.33,0.12,0.469,6.2,18.1,29.1,30.2,26.8,25.8,17.2,355,9.7,"2,649","27,417","2,716",6,284,50,328,"1,529",660,455,-,96,115,"2,090","1,717",-,-,-,-,-,-,-,-
36580,Somerset (R),2013,"9,488",41,"445,361,487","41,406","46,939",76,"2,535",51,"10,589,800",939,"4,177",8.7,"6,536",50,"33,110,272",224,"5,066",12,432,57,"10,260,167","15,116","23,750",2,"10,902",45,"485,919,896","38,409","44,572",5.58,1.82,0.33,0.11,0.475,6,18.3,29.5,30.8,26,25.9,17.3,461,13.1,"1,705","28,371","2,850",-,263,42,379,"1,587",879,428,-,73,161,"2,164","1,859",-,-,-,-,-,-,-,-
